"","X","az","date","senat","anordnung","link","year","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","wechsel_at_all","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"45",6795,"1 BvR 851/87",1998-07-08,1,0,"http://www.bverfg.de/e/rk19980708_1bvr085187.html",1998,1,"Papier","Grimm","Haas","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",1,"Hömig","Haas","Papier Grimm Haas",1,0,"1","Haas Steiner Jaeger Kühling",1,FALSE,0
"64",6750,"1 BvR 1435/98",1998-08-25,1,0,"http://www.bverfg.de/e/rk19980825_1bvr143598.html",1998,1,"Papier","Grimm","Steiner","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",1,"Hömig","Steiner","Papier Grimm Haas",1,0,"2","Haas Steiner Jaeger Kühling",1,FALSE,1
"212",6203,"1 BvQ 5/00",2000-03-12,1,1,"http://www.bverfg.de/e/qk20000312_1bvq000500.html",2000,1,"Papier","Steiner","Hohmann-Dennhardt","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",1,"Hoffmann-Riem","Hohmann-Dennhardt","Papier Steiner Hohmann-Dennhardt",1,0,"1","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",1,FALSE,0
"233",6136,"1 BvQ 11/00",2000-04-30,1,1,"http://www.bverfg.de/e/qk20000430_1bvq001100.html",2000,1,"Papier","Kühling","Steiner","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",1,"Hoffmann-Riem","Kühling","Papier Steiner Hohmann-Dennhardt",1,0,"5","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",1,FALSE,1
"236",6128,"1 BvQ 14/00",2000-05-20,1,1,"http://www.bverfg.de/e/qk20000520_1bvq001400.html",2000,1,"Kühling","Hömig","Hoffmann-Riem","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",1,"Papier Steiner","Kühling Hömig","Hoffmann-Riem Hohmann-Dennhardt Haas",2,0,"3 4","Hohmann-Dennhardt Haas Hömig Kühling",2,FALSE,1
"247",6058,"1 BvQ 22/00",2000-08-11,1,1,"http://www.bverfg.de/e/qk20000811_1bvq002200.html",2000,1,"Papier","Hömig","Hohmann-Dennhardt","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",1,"Steiner Hoffmann-Riem","Hömig Hohmann-Dennhardt","Papier Hohmann-Dennhardt Haas",1,0,"1 3","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",1,FALSE,1
"265",6008,"1 BvR 1498/00",2000-09-25,1,0,"http://www.bverfg.de/e/rk20000925_1bvr149800.html",2000,1,"Steiner","Hohmann-Dennhardt","Hoffmann-Riem","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",1,"Papier","Hohmann-Dennhardt","Steiner Hoffmann-Riem Hohmann-Dennhardt",2,0,"1","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",2,FALSE,0
"290",5864,"1 BvR 2216/96",2001-01-18,1,0,"http://www.bverfg.de/e/rk20010118_1bvr221696.html",2001,1,"Steiner","Hohmann-Dennhardt","Hoffmann-Riem","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",1,"Papier","Hohmann-Dennhardt","Steiner Hoffmann-Riem Hohmann-Dennhardt",2,0,"1","Hohmann-Dennhardt Haas Hömig Jaeger Kühling",2,FALSE,0
"316",5737,"1 BvQ 20/01",2001-04-12,1,1,"http://www.bverfg.de/e/qk20010412_1bvq002001.html",2001,1,"Papier","Hohmann-Dennhardt","Hoffmann-Riem","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Bryde Hömig Jaeger",1,"Steiner","Hohmann-Dennhardt","Papier Hoffmann-Riem Hohmann-Dennhardt",2,0,"1","Hohmann-Dennhardt Haas Bryde Hömig Jaeger",2,FALSE,0
"324",5714,"1 BvR 481/01",2001-05-10,1,0,"http://www.bverfg.de/e/rk20010510_1bvr048101.html",2001,1,"Papier","Steiner","Hohmann-Dennhardt","Papier","Steiner","Hoffmann-Riem","Hohmann-Dennhardt Haas Bryde Hömig Jaeger",1,"Hoffmann-Riem","Hohmann-Dennhardt","Papier Steiner Hohmann-Dennhardt",1,0,"1","Hohmann-Dennhardt Haas Bryde Hömig Jaeger",1,FALSE,0
