"","X","az","date","senat","anordnung","link","year","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","wechsel_at_all","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"1",6961,"1 BvR 2422/97",1998-01-29,1,0,"http://www.bverfg.de/e/rk19980129_1bvr242297.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"2",6960,"1 BvR 1713/96",1998-01-30,1,0,"http://www.bverfg.de/e/rk19980130_1bvr171396.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"3",6958,"1 BvR 909/94",1998-02-03,1,0,"http://www.bverfg.de/e/rk19980203_1bvr090994.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"4",6954,"1 BvR 410/95",1998-02-05,1,0,"http://www.bverfg.de/e/rk19980205_1bvr041095.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"5",6955,"1 BvR 2666/95",1998-02-05,1,0,"http://www.bverfg.de/e/rk19980205_1bvr266695.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"6",6950,"1 BvR 2234/97",1998-02-09,1,0,"http://www.bverfg.de/e/rk19980209_1bvr223497.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"7",6936,"1 BvR 962/94",1998-02-19,1,0,"http://www.bverfg.de/e/rk19980219_1bvr096294.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"8",6934,"1 BvR 1842/97",1998-02-23,1,0,"http://www.bverfg.de/e/rk19980223_1bvr184297.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"9",6931,"1 BvR 207/97",1998-02-25,1,0,"http://www.bverfg.de/e/rk19980225_1bvr020797.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"10",6933,"1 BvR 421/90",1998-02-25,1,0,"http://www.bverfg.de/e/rk19980225_1bvr042190.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"11",6926,"1 BvR 842/90",1998-02-26,1,0,"http://www.bverfg.de/e/rk19980226_1bvr084290.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"12",6927,"1 BvR 1114/86",1998-02-26,1,0,"http://www.bverfg.de/e/rk19980226_1bvr111486.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"13",6928,"1 BvR 1342/91",1998-02-26,1,0,"http://www.bverfg.de/e/rk19980226_1bvr134291.html",1998,1,"Seidl","Grimm","Hömig","Seidl","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"14",6914,"1 BvR 222/97",1998-03-12,1,0,"http://www.bverfg.de/e/rk19980312_1bvr022297.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"15",6915,"1 BvR 1639/95",1998-03-12,1,0,"http://www.bverfg.de/e/rk19980312_1bvr163995.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"16",6916,"1 BvR 2165/96",1998-03-12,1,0,"http://www.bverfg.de/e/rk19980312_1bvr216596.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"17",6901,"1 BvR 1935/96",1998-03-24,1,0,"http://www.bverfg.de/e/rk19980324_1bvr193596.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"18",6891,"1 BvR 1172/85",1998-03-30,1,0,"http://www.bverfg.de/e/rk19980330_1bvr117285.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"19",6886,"1 BvR 1988/97",1998-03-31,1,0,"http://www.bverfg.de/e/rk19980331_1bvr198897.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"20",6887,"1 BvR 2008/97",1998-03-31,1,0,"http://www.bverfg.de/e/rk19980331_1bvr200897.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"21",6889,"1 BvR 2366/97",1998-03-31,1,0,"http://www.bverfg.de/e/rk19980331_1bvr236697.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"22",6878,"1 BvR 968/97",1998-04-04,1,0,"http://www.bverfg.de/e/rk19980404_1bvr096897.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"23",6879,"1 BvR 1224/94",1998-04-04,1,0,"http://www.bverfg.de/e/rk19980404_1bvr122494.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"24",6880,"1 BvR 1372/90",1998-04-04,1,0,"http://www.bverfg.de/e/rk19980404_1bvr137290.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"25",6876,"1 BvR 2114/97",1998-04-06,1,0,"http://www.bverfg.de/e/rk19980406_1bvr211497.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"26",6866,"1 BvR 44/92",1998-04-09,1,0,"http://www.bverfg.de/e/rk19980409_1bvr004492.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"27",6867,"1 BvR 415/87",1998-04-09,1,0,"http://www.bverfg.de/e/rk19980409_1bvr041587.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"28",6868,"1 BvR 416/87",1998-04-09,1,0,"http://www.bverfg.de/e/rk19980409_1bvr041687.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"29",6861,"1 BvR 1086/92",1998-04-21,1,0,"http://www.bverfg.de/e/rk19980421_1bvr108692.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"30",6862,"1 BvR 2311/94",1998-04-21,1,0,"http://www.bverfg.de/e/rk19980421_1bvr231194.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"31",6860,"1 BvR 2146/94",1998-04-22,1,0,"http://www.bverfg.de/e/rk19980422_1bvr214694.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"32",6857,"1 BvR 587/88",1998-04-24,1,0,"http://www.bverfg.de/e/rk19980424_1bvr058788.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"33",6849,"1 BvQ 9/98",1998-04-30,1,1,"http://www.bverfg.de/e/qk19980430_1bvq000998.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"34",6844,"1 BvR 1131/94",1998-05-05,1,0,"http://www.bverfg.de/e/rk19980505_1bvr113194.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"35",6845,"1 BvR 1384/94",1998-05-05,1,0,"http://www.bverfg.de/e/rk19980505_1bvr138494.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"36",6824,"1 BvR 935/98",1998-06-03,1,0,"http://www.bverfg.de/e/rk19980603_1bvr093598.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"37",6822,"1 BvR 2313/96",1998-06-04,1,0,"http://www.bverfg.de/e/rk19980604_1bvr231396.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"38",6823,"1 BvR 2652/95",1998-06-04,1,0,"http://www.bverfg.de/e/rk19980604_1bvr265295.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"39",6809,"1 BvR 2386/94",1998-06-17,1,0,"http://www.bverfg.de/e/rk19980617_1bvr238694.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"40",6808,"1 BvR 1114/98",1998-06-18,1,0,"http://www.bverfg.de/e/rk19980618_1bvr111498.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"41",6798,"1 BvR 13/98",1998-07-03,1,0,"http://www.bverfg.de/e/rk19980703_1bvr001398.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"42",6799,"1 BvR 434/98",1998-07-03,1,0,"http://www.bverfg.de/e/rk19980703_1bvr043498.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"43",6797,"1 BvR 1210/90",1998-07-06,1,0,"http://www.bverfg.de/e/rk19980706_1bvr121090.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"44",6796,"1 BvR 1708/92",1998-07-07,1,0,"http://www.bverfg.de/e/rk19980707_1bvr170892.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"45",6795,"1 BvR 851/87",1998-07-08,1,0,"http://www.bverfg.de/e/rk19980708_1bvr085187.html",1998,1,"Papier","Grimm","Haas","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",1,"Hömig","Haas","Papier Grimm Haas",1,0,"1","Haas Steiner Jaeger Kühling",1,FALSE,0
"46",6783,"1 BvR 2419/97",1998-07-23,1,0,"http://www.bverfg.de/e/rk19980723_1bvr241997.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"47",6784,"1 BvR 2470/94",1998-07-23,1,0,"http://www.bverfg.de/e/rk19980723_1bvr247094.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"48",6781,"1 BvQ 11/98",1998-07-25,1,1,"http://www.bverfg.de/e/qk19980725_1bvq001198.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"49",6780,"1 BvR 781/94",1998-07-28,1,0,"http://www.bverfg.de/e/rk19980728_1bvr078194.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"50",6776,"1 BvR 287/93",1998-07-29,1,0,"http://www.bverfg.de/e/rk19980729_1bvr028793.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"51",6777,"1 BvR 333/98",1998-07-29,1,0,"http://www.bverfg.de/e/rk19980729_1bvr033398.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"52",6778,"1 BvR 1050/91",1998-07-29,1,0,"http://www.bverfg.de/e/rk19980729_1bvr105091.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"53",6779,"1 BvR 1143/90",1998-07-29,1,0,"http://www.bverfg.de/e/rk19980729_1bvr114390.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"54",6775,"1 BvR 698/93",1998-07-30,1,0,"http://www.bverfg.de/e/rk19980730_1bvr069893.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"55",6772,"1 BvR 1711/94",1998-08-04,1,0,"http://www.bverfg.de/e/rk19980804_1bvr171194.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"56",6768,"1 BvR 472/98",1998-08-05,1,0,"http://www.bverfg.de/e/rk19980805_1bvr047298.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"57",6769,"1 BvR 2250/95",1998-08-05,1,0,"http://www.bverfg.de/e/rk19980805_1bvr225095.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"58",6765,"1 BvR 10/98",1998-08-10,1,0,"http://www.bverfg.de/e/rk19980810_1bvr001098.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"59",6761,"1 BvR 1270/94",1998-08-11,1,0,"http://www.bverfg.de/e/rk19980811_1bvr127094.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"60",6762,"1 BvR 1334/98",1998-08-11,1,0,"http://www.bverfg.de/e/rk19980811_1bvr133498.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"61",6763,"1 BvR 1362/98",1998-08-11,1,0,"http://www.bverfg.de/e/rk19980811_1bvr136298.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"62",6759,"1 BvL 25/96",1998-08-13,1,0,"http://www.bverfg.de/e/lk19980813_1bvl002596.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"63",6755,"1 BvR 1955/94",1998-08-18,1,0,"http://www.bverfg.de/e/rk19980818_1bvr195594.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"64",6750,"1 BvR 1435/98",1998-08-25,1,0,"http://www.bverfg.de/e/rk19980825_1bvr143598.html",1998,1,"Papier","Grimm","Steiner","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",1,"Hömig","Steiner","Papier Grimm Haas",1,0,"2","Haas Steiner Jaeger Kühling",1,FALSE,1
"65",6751,"1 BvR 2487/94",1998-08-25,1,0,"http://www.bverfg.de/e/rk19980825_1bvr248794.html",1998,1,"Papier","Grimm","Steiner","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",1,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"66",6744,"1 BvR 279/92",1998-09-15,1,0,"http://www.bverfg.de/e/rk19980915_1bvr027992.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"67",6745,"1 BvR 1540/98",1998-09-15,1,0,"http://www.bverfg.de/e/rk19980915_1bvr154098.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"68",6742,"1 BvR 1130/98",1998-09-16,1,0,"http://www.bverfg.de/e/rk19980916_1bvr113098.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"69",6743,"1 BvR 1276/98",1998-09-16,1,0,"http://www.bverfg.de/e/rk19980916_1bvr127698.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"70",6726,"1 BvR 1476/98",1998-10-05,1,0,"http://www.bverfg.de/e/rk19981005_1bvr147698.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"71",6716,"1 BvR 547/96",1998-10-14,1,0,"http://www.bverfg.de/e/rk19981014_1bvr054796.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"72",6717,"1 BvR 1526/98",1998-10-14,1,0,"http://www.bverfg.de/e/rk19981014_1bvr152698.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"73",6712,"1 BvR 590/96",1998-10-16,1,0,"http://www.bverfg.de/e/rk19981016_1bvr059096.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"74",6713,"1 BvR 1685/92",1998-10-16,1,0,"http://www.bverfg.de/e/rk19981016_1bvr168592.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"75",6711,"1 BvR 1730/98",1998-10-20,1,0,"http://www.bverfg.de/e/rk19981020_1bvr173098.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"76",6710,"1 BvR 179/94",1998-10-21,1,0,"http://www.bverfg.de/e/rk19981021_1bvr017994.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"77",6709,"1 BvR 1551/91",1998-10-22,1,0,"http://www.bverfg.de/e/rk19981022_1bvr155191.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"78",6704,"1 BvR 341/93",1998-10-28,1,0,"http://www.bverfg.de/e/rk19981028_1bvr034193.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"79",6702,"1 BvR 1891/98",1998-11-03,1,0,"http://www.bverfg.de/e/rk19981103_1bvr189198.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"80",6672,"1 BvR 831/89",1998-12-07,1,0,"http://www.bverfg.de/e/rk19981207_1bvr083189.html",1998,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"81",6659,"1 BvR 1759/98",1999-01-07,1,0,"http://www.bverfg.de/e/rk19990107_1bvr175998.html",1999,1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Steiner Haas Jaeger Kühling",0,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
